Material,Alias,readable
pekk,poly(etherketoneketone),PEKK
pest,polyester,PEST
pet,polyethyleneterephthalate,PET
pet,poly(ethyleneterephthalate),PET
peva,polyethylene-vinylacetate,PEVA
eva,ethylene-vinyl-acetate,EVA
eva,ethylenevinylacetate,EVA
phenolformaldehyde,phenolformaldehyde,Phenol formaldehyde
pi,polyimide,PI
pi,polyimides,PI
pla,polylacticacid(pla),PLA
pla,polyacticacid,PLA
picolinicacid,picolinicacid,picolinic acid
plasticadditive,plasticadditive,Plastic additive
pmma,polymethylmethacylate,PMMA
pmma,polymethylmethacrylate,PMMA
pmma,poly(methylmethacrylate),PMMA
pmps,polymethylphenylsiloxane,PMPS
pmps,poly(methylphenylsiloxane)(pmps),PMPS
poiy(1-chloro-1-butenylene)(polychloroprene),poiy(1-chloro-1-butenylene)(polychloroprene),PoIy(1-chloro-1-butenylene) (Polychloroprene)
poly(_-methylstyrene),poly(_-methylstyrene),Poly(-methylstyrene)
poly(1-bromo-1-butenylene)(polybromoprene),poly(1-bromo-1-butenylene)(polybromoprene),Poly(1-bromo-1-butenylene) (Polybromoprene)
"poly(1-ethyl-1,4-butadiene)","poly(1-ethyl-1,4-butadiene)","Poly(1-ethyl-1,4-butadiene)"
poly(1-pentenylene),poly(1-pentenylene),Poly(1-pentenylene)
"poly(1,2-butadiene)","poly(1,2-butadiene)","Poly(1,2-butadiene)"
"poly(1,4-butadiene)","poly(1,4-butadiene)","Poly(1,4-butadiene)"
"poly(1,4-butylenesuccinate)","poly(1,4-butylenesuccinate)","Poly(1,4-butylene succinate)"
"poly(1,4-pentadiene)","poly(1,4-pentadiene)","Poly(1,4-pentadiene)"
"poly(1,6-hexylenesuccinate)","poly(1,6-hexylenesuccinate)","Poly(1,6-hexylene succinate)"
poly(2-chloro-p-xylylene),poly(2-chloro-p-xylylene),Poly(2-chloro-p-xylylene)
poly(2-chloroethylmethacrylate),poly(2-chloroethylmethacrylate),Poly(2-chloroethyl methacrylate)
poly(2-chlorostyrene),poly(2-chlorostyrene),Poly(2-chlorostyrene)
poly(2-cyanoethylacrylate),poly(2-cyanoethylacrylate),Poly(2-cyanoethyl acrylate)
poly(2-ethoxyethylmethacrylate),poly(2-ethoxyethylmethacrylate),Poly(2-ethoxyethyl methacrylate)
poly(2-ethylhexylacrylate),poly(2-ethylhexylacrylate),Poly(2-ethylhexyl acrylate)
poly(2-hydroxyethylacrylate),poly(2-hydroxyethylacrylate),Poly(2-hydroxyethyl acrylate)
poly(2-hydroxyethylmethacrylate),poly(2-hydroxyethylmethacrylate),Poly(2-hydroxyethyl methacrylate)
poly(2-hydroxypropylmethacrylate),poly(2-hydroxypropylmethacrylate),Poly(2-hydroxypropyl methacrylate)
poly(2-methoxystyrene),poly(2-methoxystyrene),Poly(2-methoxystyrene)
poly(2-methylbutene),poly(2-methylbutene),Poly(2-methylbutene)
poly(2-methylstyrene),poly(2-methylstyrene),Poly(2-methylstyrene)
poly(2-phenylethylmethacrylate),poly(2-phenylethylmethacrylate),Poly(2-phenylethyl methacrylate)
"poly(2,2,3,3-tetrafluoropropylacrylate)","poly(2,2,3,3-tetrafluoropropylacrylate)","Poly(2,2,3,3-Tetrafluoropropyl acrylate)"
"poly(2,2,3,3-tetrafluoropropylmethacrylate)","poly(2,2,3,3-tetrafluoropropylmethacrylate)","Poly(2,2,3,3-tetrafluoropropyl methacrylate)"
"poly(2,5-difluorostyrene)","poly(2,5-difluorostyrene)","Poly(2,5-difluorostyrene)"
"poly(2,6-dimethyl-p-phenyleneoxide)","poly(2,6-dimethyl-p-phenyleneoxide)","Poly(2,6-dimethyl-p-phenylene oxide)"
"poly(2,6-diphenyl-p-phenyleneoxide)","poly(2,6-diphenyl-p-phenyleneoxide)","Poly(2,6-diphenyl-p-phenylene oxide)"
"poly(2,6,3',5'-tetrachlorobisphenolacarbonate)","poly(2,6,3',5'-tetrachlorobisphenolacarbonate)","Poly(2,6,3',5'-tetrachloro bisphenol A carbonate)"
poly(3-butoxypropyleneoxide),poly(3-butoxypropyleneoxide),Poly(3-butoxypropylene oxide)
poly(3-chlorostyrene),poly(3-chlorostyrene),Poly(3-chlorostyrene)
poly(3-hydroxybutyrate),poly(3-hydroxybutyrate),Poly(3-hydroxybutyrate)
poly(3-methoxypropyleneoxide),poly(3-methoxypropyleneoxide),Poly(3-methoxypropylene oxide)
poly(3-methylstyrene),poly(3-methylstyrene),Poly(3-methylstyrene)
poly(4-bromostyrene),poly(4-bromostyrene),Poly(4-bromostyrene)
poly(4-chlorophenylacrylate),poly(4-chlorophenylacrylate),Poly(4-chlorophenyl acrylate)
poly(4-chlorostyrene),poly(4-chlorostyrene),Poly(4-chlorostyrene)
poly(4-fluorostyrene),poly(4-fluorostyrene),Poly(4-fluorostyrene)
poly(4-hydroxybutyrate),poly(4-hydroxybutyrate),Poly(4-hydroxybutyrate)
poly(4-methylstyrene),poly(4-methylstyrene),Poly(4-methylstyrene)
poly(4-tert-butylcyclohexylmethacrylate),poly(4-tert-butylcyclohexylmethacrylate),Poly(4-tert-butylcyclohexyl methacrylate)
poly(4-tert-butylstyrene),poly(4-tert-butylstyrene),Poly(4-tert-butylstyrene)
poly(4-vinylphenol),poly(4-vinylphenol),Poly(4-vinyl phenol)
"poly(4,4'-thiodiphenylenecarbonate)","poly(4,4'-thiodiphenylenecarbonate)","Poly(4,4'-thiodiphenylene carbonate)"
poly(azelaicanhydride),poly(azelaicanhydride),Poly(azelaic anhydride)
poly(benzylacrylate),poly(benzylacrylate),Poly(benzyl acrylate)
poly(benzylmethacrylate),poly(benzylmethacrylate),Poly(benzyl methacrylate)
poly(bis-adiglycidylether-alt-ethylenediamine),poly(bis-adiglycidylether-alt-ethylenediamine),Poly(bis-A diglycidyl ether- alt - ethylenediamine)
poly(bis-adiglycidylether-alt-hexamethylenediamine),poly(bis-adiglycidylether-alt-hexamethylenediamine),Poly(bis-A diglycidyl ether- alt - hexamethylenediamine)
poly(bis-adiglycidylether-alt-octamethylenediamine),poly(bis-adiglycidylether-alt-octamethylenediamine),Poly(bis-A diglycidyl ether- alt - octamethylenediamine)
poly(bisphenolacarbonate),poly(bisphenolacarbonate),Poly(bisphenol A carbonate)
poly(bisphenolaisophthalate),poly(bisphenolaisophthalate),Poly(Bisphenol A isophthalate)
poly(bisphenolaterephthalate),poly(bisphenolaterephthalate),Poly(Bisphenol A terephthalate)
poly(bisphenolbcarbonate),poly(bisphenolbcarbonate),Poly(bisphenol B carbonate)
poly(bisphenolfcarbonate),poly(bisphenolfcarbonate),Poly(bisphenol F carbonate)
poly(butylacrylate),poly(butylacrylate),Poly(butyl acrylate)
poly(butylcyanoacrylate),poly(butylcyanoacrylate),Poly(butyl cyanoacrylate)
poly(butylethylene),poly(butylethylene),Poly(butyl ethylene)
poly(butylmethacrylate),poly(butylmethacrylate),Poly(butyl methacrylate)
poly(butylvinylether),poly(butylvinylether),Poly(butyl vinyl ether)
poly(butyleneadipate),poly(butyleneadipate),Poly(butylene adipate)
poly(butyleneisophthalate),poly(butyleneisophthalate),Poly(butylene isophthalate)
poly(butylenesebacate),poly(butylenesebacate),Poly(butylene sebacate)
poly(butylene),poly(butylene),Poly(butylene)
poly(caprolactone),poly(caprolactone),Poly(caprolactone)
poly(chlorotrifluoroethylene),poly(chlorotrifluoroethylene),Poly(chlorotrifluoroethylene)
poly(cyanomethylacrylate),poly(cyanomethylacrylate),Poly(cyanomethyl acrylate)
poly(cyclohexylacrylate),poly(cyclohexylacrylate),Poly(cyclohexyl acrylate)
poly(cyclohexylmethacrylate),poly(cyclohexylmethacrylate),Poly(cyclohexyl methacrylate)
poly(cyclohexylenedimethyleneterephthalate),poly(cyclohexylenedimethyleneterephthalate),Poly(cyclohexylenedimethylene terephthalate)
poly(cyclohexylethylene),poly(cyclohexylethylene),Poly(cyclohexylethylene)
poly(decylmethacrylate),poly(decylmethacrylate),Poly(decylmethacrylate)
poly(dibutylfumarate),poly(dibutylfumarate),Poly(dibutyl fumarate)
poly(diethylfumarate),poly(diethylfumarate),Poly(diethyl fumarate)
poly(diethylsiloxane)(pdes),poly(diethylsiloxane)(pdes),Poly(diethylsiloxane) (PDES)
poly(dimethylfumarate),poly(dimethylfumarate),Poly(dimethyl fumarate)
poly(dipropylfumarate),poly(dipropylfumarate),Poly(dipropyl fumarate)
poly(dodecylmethacrylate),poly(dodecylmethacrylate),Poly(dodecylmethacrylate)
poly(epichlorohydrin),poly(epichlorohydrin),Poly(epichlorohydrin)
poly(etherethersulfone),poly(etherethersulfone),Poly(ether ether sulfone)
poly(ether)ketones(polyketones),poly(ether)ketones(polyketones),Poly(Ether)ketones (POLYKETONES)
poly(ethersulfone),poly(ethersulfone),Poly(ethersulfone)
poly(ethylacrylate),poly(ethylacrylate),Poly(ethyl acrylate)
poly(ethylcyanoacrylate),poly(ethylcyanoacrylate),Poly(ethyl cyanoacrylate)
poly(ethylmethacrylate),poly(ethylmethacrylate),Poly(ethyl methacrylate)
poly(ethylvinylether),poly(ethylvinylether),Poly(ethyl vinyl ether)
poly(ethyleneadipate),poly(ethyleneadipate),Poly(ethylene adipate)
poly(ethylenecarbonate),poly(ethylenecarbonate),Poly(ethylene carbonate)
poly(ethyleneglycol),poly(ethyleneglycol),Poly(ethylene glycol)
poly(ethyleneisophthalate),poly(ethyleneisophthalate),Poly(ethylene isophthalate)
poly(ethylenenaphthalate),poly(ethylenenaphthalate),Poly(ethylene naphthalate)
poly(ethylenephthalate),poly(ethylenephthalate),Poly(ethylene phthalate)
poly(ethylenesebacate),poly(ethylenesebacate),Poly(ethylene sebacate)
poly(ethylenesuccinate),poly(ethylenesuccinate),Poly(ethylene succinate)
poly(ethylenesulfide),poly(ethylenesulfide),Poly(ethylene sulfide)
poly(ethyleneketone),poly(ethyleneketone),Poly(ethyleneketone)
poly(heptylethylene),poly(heptylethylene),Poly(heptylethylene)
"poly(hexamethyleneisophthalamide),pa6i","poly(hexamethyleneisophthalamide),pa6i","Poly(hexamethylene isophthalamide), PA 6I"
poly(hexamethyleneoxide),poly(hexamethyleneoxide),Poly(hexamethylene oxide)
"poly(hexamethyleneteraphthalamide),pa6t","poly(hexamethyleneteraphthalamide),pa6t","Poly(hexamethylene teraphthalamide), PA 6T"
poly(hexylacrylate),poly(hexylacrylate),Poly(hexyl acrylate)
poly(hexylcyanoacrylate),poly(hexylcyanoacrylate),Poly(hexyl cyanoacrylate)
poly(hexylmethacrylate),poly(hexylmethacrylate),Poly(hexyl methacrylate)
poly(hexylvinylether),poly(hexylvinylether),Poly(hexyl vinyl ether)
poly(hexylenesebacate),poly(hexylenesebacate),Poly(hexylene sebacate)
poly(hexylethylene),poly(hexylethylene),Poly(hexylethylene)
poly(isobutene),poly(isobutene),Poly(isobutene)
poly(isobutylacrylate),poly(isobutylacrylate),Poly(isobutyl acrylate)
poly(isobutylmethacrylate),poly(isobutylmethacrylate),Poly(isobutyl methacrylate)
poly(isobutylvinylether),poly(isobutylvinylether),Poly(isobutyl vinyl ether)
poly(isobutylethylene),poly(isobutylethylene),Poly(isobutylethylene)
poly(isopropylacrylate),poly(isopropylacrylate),Poly(isopropyl acrylate)
poly(isopropylmethacrylate),poly(isopropylmethacrylate),Poly(isopropyl methacrylate)
poly(isopropylvinylether),poly(isopropylvinylether),Poly(isopropyl vinyl ether)
poly(isopropylethylene),poly(isopropylethylene),Poly(isopropylethylene)
poly(methacrylamide),poly(methacrylamide),Poly(methacrylamide)
poly(methacrylicacid),poly(methacrylicacid),Poly(methacrylic acid)
poly(methacrylonitrile),poly(methacrylonitrile),Poly(methacrylonitrile)
poly(methylacrylate),poly(methylacrylate),Poly(methyl acrylate)
poly(methylcyanoacrylate),poly(methylcyanoacrylate),Poly(methyl cyanoacrylate)
poly(methylisopropenylketone),poly(methylisopropenylketone),Poly(methyl isopropenyl ketone)
poly(methylvinylether),poly(methylvinylether),Poly(methyl vinyl ether)
poly(n-acetylmethacrylamide),poly(n-acetylmethacrylamide),Poly(N-acetylmethacrylamide)
poly(n-benzylmethacrylamide),poly(n-benzylmethacrylamide),Poly(N-benzyl methacrylamide)
poly(n-isopropylacrylamide),poly(n-isopropylacrylamide),Poly(N-isopropyl acrylamide)
poly(n-octylacrylamide),poly(n-octylacrylamide),Poly(N-octyl acrylamide)
poly(n-phenylacrylamide),poly(n-phenylacrylamide),Poly(N-phenyl acrylamide)
poly(n-sec-butylacrylamide),poly(n-sec-butylacrylamide),Poly(N-sec-butyl acrylamide)
poly(n-tert-butylacrylamide),poly(n-tert-butylacrylamide),Poly(N-tert-butyl acrylamide)
poly(n-tert-butylmethacrylamide),poly(n-tert-butylmethacrylamide),Poly(N-tert-butylmethacrylamide)
"poly(nonanmethyleneteraphthalamide),pa9t","poly(nonanmethyleneteraphthalamide),pa9t","Poly(nonanmethylene teraphthalamide), PA 9T"
poly(octadecylmethacrylate),poly(octadecylmethacrylate),Poly(octadecyl methacrylate)
poly(octylacrylate),poly(octylacrylate),Poly(octyl acrylate)
poly(octylcyanoacrylate),poly(octylcyanoacrylate),Poly(octyl cyanoacrylate)
poly(octylmethacrylate),poly(octylmethacrylate),Poly(octyl methacrylate)
poly(octylvinylether),poly(octylvinylether),Poly(octyl vinyl ether)
poly(octylethylene),poly(octylethylene),Poly(octylethylene)
poly(oxymethylene-oxyethylene),poly(oxymethylene-oxyethylene),Poly(oxymethylene-oxyethylene)
poly(oxymethylene-oxytetramethylene),poly(oxymethylene-oxytetramethylene),Poly(oxymethylene-oxytetramethylene)
poly(p-pentamethylenedibenzoicanhydride),poly(p-pentamethylenedibenzoicanhydride),Poly(p-pentamethylenedibenzoic anhydride)
poly(p-phenyleneoxide),poly(p-phenyleneoxide),Poly(p-phenylene oxide)
poly(p-phenylenevinylene),poly(p-phenylenevinylene),Poly(p-phenylene vinylene)
poly(p-phenylene),poly(p-phenylene),Poly(p-phenylene)
poly(p-tetramethylenedibenzoicanhydride),poly(p-tetramethylenedibenzoicanhydride),Poly(p-tetramethylenedibenzoic anhydride)
poly(p-xylene),poly(p-xylene),Poly(p-xylene)
poly(pentylethylene),poly(pentylethylene),Poly(pentylethylene)
poly(phenylmethacrylate),poly(phenylmethacrylate),Poly(phenyl methacrylate)
poly(phenylsulfone),poly(phenylsulfone),Poly(phenylsulfone)
poly(propylacrylate),poly(propylacrylate),Poly(propyl acrylate)
poly(propylmethacrylate),poly(propylmethacrylate),Poly(propyl methacrylate)
poly(propylvinylether),poly(propylvinylether),Poly(propyl vinyl ether)
poly(propyleneadipate),poly(propyleneadipate),Poly(propylene adipate)
poly(propylenecarbonate),poly(propylenecarbonate),Poly(propylene carbonate)
poly(propyleneglycol),poly(propyleneglycol),Poly(propylene glycol)
poly(propylenesulfide),poly(propylenesulfide),Poly(propylene sulfide)
poly(propyleneketone),poly(propyleneketone),Poly(propyleneketone)
poly(propylethylene),poly(propylethylene),Poly(propylethylene)
poly(sebacicanhydride),poly(sebacicanhydride),Poly(sebacic anhydride)
poly(sec-butylacrylate),poly(sec-butylacrylate),Poly(sec-butyl acrylate)
poly(sec-butylmethacrylate),poly(sec-butylmethacrylate),Poly(sec-butyl methacrylate)
poly(sec-butylvinylether),poly(sec-butylvinylether),Poly(sec-butyl vinyl ether)
poly(stearylacrylate),poly(stearylacrylate),Poly(stearyl acrylate)
poly(tert-butylacrylate),poly(tert-butylacrylate),Poly(tert-butyl acrylate)
poly(tert-butylmethacrylate),poly(tert-butylmethacrylate),Poly(tert-butyl methacrylate)
poly(tert-butylethylene),poly(tert-butylethylene),Poly(tert-butylethylene)
poly(tetrahydrofuran),poly(tetrahydrofuran),Poly(tetrahydrofuran)
poly(tetramethylbisphenolacarbonate),poly(tetramethylbisphenolacarbonate),Poly(tetramethyl bisphenol A carbonate)
"poly(thio-1,4-phenylene)","poly(thio-1,4-phenylene)","Poly(thio-1,4-phenylene)"
poly(trimethyleneglycol),poly(trimethyleneglycol),Poly(trimethylene glycol)
poly(trimethylenesuccinate),poly(trimethylenesuccinate),Poly(trimethylene succinate)
poly(trimethyleneterephthalate),poly(trimethyleneterephthalate),Poly(trimethylene terephthalate)
poly(vinylacetate),poly(vinylacetate),Poly(vinyl acetate)
poly(vinylbenzoate),poly(vinylbenzoate),Poly(vinyl benzoate)
poly(vinylbromide),poly(vinylbromide),Poly(vinyl bromide)
poly(vinylbutylsulfide),poly(vinylbutylsulfide),Poly(vinyl butyl sulfide)
poly(vinylbutyral),poly(vinylbutyral),Poly(vinyl butyral)
poly(vinylbutyrate),poly(vinylbutyrate),Poly(vinyl butyrate)
poly(vinylcaproate),poly(vinylcaproate),Poly(vinyl caproate)
poly(vinylethylketone),poly(vinylethylketone),Poly(vinyl ethyl ketone)
poly(vinylethylsulfide),poly(vinylethylsulfide),Poly(vinyl ethyl sulfide)
poly(vinylfluoride),poly(vinylfluoride),Poly(vinyl fluoride)
poly(vinylformal),poly(vinylformal),Poly(vinyl formal)
poly(vinylformate),poly(vinylformate),Poly(vinyl formate)
poly(vinylmethylketone),poly(vinylmethylketone),Poly(vinyl methyl ketone)
poly(vinylmethylsulfide),poly(vinylmethylsulfide),Poly(vinyl methyl sulfide)
poly(vinylphenylketone),poly(vinylphenylketone),Poly(vinyl phenyl ketone)
poly(vinylphenylsulfide),poly(vinylphenylsulfide),Poly(vinyl phenyl sulfide)
poly(vinylpropionate),poly(vinylpropionate),Poly(vinyl propionate)
poly(vinylpropylsulfide),poly(vinylpropylsulfide),Poly(vinyl propyl sulfide)
poly(vinylpyrrolidone),poly(vinylpyrrolidone),Poly(vinyl pyrrolidone)
poly(vinylstearate),poly(vinylstearate),Poly(vinyl stearate)
poly(vinylvalerate),poly(vinylvalerate),Poly(vinyl valerate)
"poly[(1,4-butanediol)-alt-(4,4'-diphenylmethanediisocyanate)]","poly[(1,4-butanediol)-alt-(4,4'-diphenylmethanediisocyanate)]","Poly[(1,4-butanediol)-alt-(4,4'-diphenylmethane diisocyanate)]"
"poly[(diethyleneglycol)-alt-(1,6-hexamethylenediisocyanate)]","poly[(diethyleneglycol)-alt-(1,6-hexamethylenediisocyanate)]","Poly[(diethylene glycol)-alt-(1,6-hexamethylene diisocyanate)]"
"poly[(ethyleneglycol)-alt-(4,4'-diphenylmethanediisocyanate)]","poly[(ethyleneglycol)-alt-(4,4'-diphenylmethanediisocyanate)]","Poly[(ethylene glycol)-alt-(4,4'-diphenylmethane diisocyanate)]"
"poly[(polytetrahydrofuran1000)-alt-(4,4'-diphenylmethanediisocyanate)]","poly[(polytetrahydrofuran1000)-alt-(4,4'-diphenylmethanediisocyanate)]","Poly[(polytetrahydrofuran 1000)-alt-(4,4'-diphenylmethane diisocyanate)]"
"poly[(tetraethyleneglycol)-alt-(1,6-hexamethylenediisocyanate)]","poly[(tetraethyleneglycol)-alt-(1,6-hexamethylenediisocyanate)]","Poly[(tetraethylene glycol)-alt-(1,6-hexamethylene diisocyanate)]"
"poly[1,1-bis(chloromethyl)trimethyleneoxide]","poly[1,1-bis(chloromethyl)trimethyleneoxide]","Poly[1,1-bis(chloromethyl)trimethylene oxide]"
poly[di(n-butyl)itaconate],poly[di(n-butyl)itaconate],Poly[di(n-butyl) itaconate]
poly[di(n-hexyl)itaconate],poly[di(n-hexyl)itaconate],Poly[di(n-hexyl) itaconate]
